,Unnamed: 0,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Month.Abbr,Day.Name.Abbr,City,State,Total.Passengers,Fatality_Rate
10,10.0,Accident,1995-02-04,"ROSAMOND, CA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,1995.0,Feb,Sat,ROSAMOND, CA,2.0,0.0
11,11.0,Accident,1995-02-05,"LAFAYETTE, IN",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,Feb,Sun,LAFAYETTE, IN,1.0,0.0
12,12.0,Accident,1995-02-09,"CONROE, TX",United States,Fatal,Destroyed,Airplane,Piper,PA-32R-300,1.0,Reciprocating,Personal,5.0,0.0,1.0,0.0,IMC,Approach,Probable Cause,1995.0,Feb,Thu,CONROE, TX,6.0,83.33333333333334
13,13.0,Accident,1995-02-11,"JAMESTOWN, CA",United States,Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,1995.0,Feb,Sat,JAMESTOWN, CA,1.0,100.0
14,14.0,Accident,1995-02-11,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-30,2.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Taxi,Probable Cause,1995.0,Feb,Sat,MIAMI, FL,3.0,0.0
15,15.0,Accident,1995-02-25,"CARLSBAD, NM",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,1995.0,Feb,Sat,CARLSBAD, NM,2.0,0.0
16,16.0,Accident,1995-03-03,"CHARLESTON, SC",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,1995.0,Mar,Fri,CHARLESTON, SC,2.0,0.0
17,17.0,Accident,1995-03-05,"FORKS, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,1995.0,Mar,Sun,FORKS, WA,1.0,0.0
18,18.0,Accident,1995-03-06,"LONDON, OH",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Takeoff,Probable Cause,1995.0,Mar,Mon,LONDON, OH,1.0,0.0
19,19.0,Accident,1995-03-11,"HOBART, OK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-235,1.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Landing,Probable Cause,1995.0,Mar,Sat,HOBART, OK,4.0,0.0
20,20.0,Accident,1995-03-12,"SUFFOLK, VA",United States,Fatal,Destroyed,Airplane,Piper,PA-32-260,1.0,Reciprocating,Personal,3.0,3.0,0.0,0.0,VMC,Approach,Probable Cause,1995.0,Mar,Sun,SUFFOLK, VA,6.0,50.0
21,21.0,Accident,1995-03-12,"BOISE, ID",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1995.0,Mar,Sun,BOISE, ID,1.0,0.0
22,22.0,Accident,1995-03-14,"KINGSTON, NY",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Mar,Tue,KINGSTON, NY,1.0,0.0
23,23.0,Accident,1995-03-15,"LAKEVILLE, MN",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1995.0,Mar,Wed,LAKEVILLE, MN,1.0,0.0
24,24.0,Accident,1995-03-18,"STALEY, NC",United States,Fatal,Destroyed,Airplane,Piper,PA-22-150,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1995.0,Mar,Sat,STALEY, NC,1.0,100.0
25,25.0,Accident,1995-03-19,"ANN ARBOR, MI",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Descent,Probable Cause,1995.0,Mar,Sun,ANN ARBOR, MI,2.0,0.0
26,26.0,Accident,1995-03-19,"MIDDLE RIVER, MD",United States,Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1995.0,Mar,Sun,MIDDLE RIVER, MD,3.0,0.0
27,27.0,Accident,1995-03-23,"TORRANCE, CA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,Mar,Thu,TORRANCE, CA,1.0,0.0
28,28.0,Accident,1995-03-26,"OCEAN CITY, NJ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Landing,Probable Cause,1995.0,Mar,Sun,OCEAN CITY, NJ,2.0,0.0
29,29.0,Accident,1995-04-02,"VENICE, FL",United States,Non-Fatal,Minor,Airplane,Piper,PA-23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,6.0,VMC,Taxi,Probable Cause,1995.0,Apr,Sun,VENICE, FL,6.0,0.0
30,30.0,Accident,1995-04-02,"KLAMATH FALLS, OR",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,1995.0,Apr,Sun,KLAMATH FALLS, OR,4.0,0.0
31,31.0,Accident,1995-04-08,"ST. CLAIR, MO",United States,Fatal,Destroyed,Airplane,Piper,PA-32-260,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Apr,Sat,ST. CLAIR, MO,1.0,100.0
32,32.0,Accident,1995-04-08,"COVINGTON, TN",United States,Fatal,Destroyed,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1995.0,Apr,Sat,COVINGTON, TN,2.0,100.0
33,33.0,Accident,1995-04-16,"SCHAUMBURG, IL",United States,Fatal,Destroyed,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1995.0,Apr,Sun,SCHAUMBURG, IL,1.0,100.0
34,34.0,Accident,1995-04-18,"FORT MYERS, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1995.0,Apr,Tue,FORT MYERS, FL,3.0,0.0
35,35.0,Accident,1995-04-19,"ROCK FALLS, IL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-160,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,1995.0,Apr,Wed,ROCK FALLS, IL,2.0,0.0
36,36.0,Accident,1995-04-21,"QUINCY, FL",United States,Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Apr,Fri,QUINCY, FL,5.0,100.0
37,37.0,Accident,1995-04-28,"BOYCEVILLE, WI",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,Apr,Fri,BOYCEVILLE, WI,1.0,0.0
38,38.0,Accident,1995-04-29,"RICE, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Apr,Sat,RICE, WA,3.0,0.0
39,39.0,Accident,1995-04-29,"PARKER, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-151,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1995.0,Apr,Sat,PARKER, AZ,2.0,0.0
40,40.0,Accident,1995-04-30,"PORTER, TX",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1995.0,Apr,Sun,PORTER, TX,1.0,0.0
41,41.0,Accident,1995-04-30,"LOUISA, VA",United States,Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1995.0,Apr,Sun,LOUISA, VA,1.0,100.0
42,42.0,Accident,1995-04-30,"ANACONDA, MT",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Maneuvering,Probable Cause,1995.0,Apr,Sun,ANACONDA, MT,1.0,0.0
43,43.0,Accident,1995-05-05,"N. MIAMI BEACH, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,Probable Cause,1995.0,May,Fri,N. MIAMI BEACH, FL,1.0,0.0
44,44.0,Accident,1995-05-06,"OLD BRIDGE, NJ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,May,Sat,OLD BRIDGE, NJ,1.0,0.0
45,45.0,Accident,1995-05-08,"CHUGIAK, AK",United States,Fatal,Destroyed,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1995.0,May,Mon,CHUGIAK, AK,2.0,100.0
46,46.0,Accident,1995-05-13,"DUBOIS, PA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,1995.0,May,Sat,DUBOIS, PA,2.0,0.0
47,47.0,Accident,1995-05-14,"ONEONTA, NY",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,2.0,2.0,0.0,VMC,Landing,Probable Cause,1995.0,May,Sun,ONEONTA, NY,4.0,0.0
48,48.0,Accident,1995-05-16,"BAYTOWN, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,1995.0,May,Tue,BAYTOWN, TX,2.0,0.0
49,49.0,Accident,1995-05-19,"LOUISVILLE, KY",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,1995.0,May,Fri,LOUISVILLE, KY,3.0,0.0
50,50.0,Accident,1995-05-19,"HUTCHINSON, MN",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,1995.0,May,Fri,HUTCHINSON, MN,2.0,0.0
51,51.0,Accident,1995-05-19,"KALKASKA, MI",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,1995.0,May,Fri,KALKASKA, MI,1.0,0.0
52,52.0,Accident,1995-05-21,"CONROE, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,Takeoff,Probable Cause,1995.0,May,Sun,CONROE, TX,2.0,0.0
53,53.0,Accident,1995-05-23,"MICHIGAN CITY, IN",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,1995.0,May,Tue,MICHIGAN CITY, IN,2.0,0.0
54,54.0,Accident,1995-05-28,"GALENA, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1995.0,May,Sun,GALENA, AK,1.0,0.0
55,55.0,Accident,1995-05-28,"KOLIGANEK, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,May,Sun,KOLIGANEK, AK,1.0,0.0
56,56.0,Accident,1995-05-29,"JEFFERSON TWP, OH",United States,Fatal,Destroyed,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,1995.0,May,Mon,JEFFERSON TWP, OH,1.0,100.0
57,57.0,Accident,1995-05-29,"BYERS, CO",United States,Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1995.0,May,Mon,BYERS, CO,4.0,100.0
58,58.0,Accident,1995-05-29,"GREENVILLE, SC",United States,Fatal,Destroyed,Airplane,Piper,J3C-65,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1995.0,May,Mon,GREENVILLE, SC,2.0,50.0
59,59.0,Accident,1995-05-30,"HONOLULU, HI",United States,Fatal,Destroyed,Airplane,Piper,PA-28-151,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,1995.0,May,Tue,HONOLULU, HI,3.0,100.0
60,60.0,Accident,1995-05-31,"ASHLAND, VA",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-32-260,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1995.0,May,Wed,ASHLAND, VA,1.0,0.0
61,61.0,Accident,1995-06-02,"VALPARAISO, IN",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,IMC,Approach,Probable Cause,1995.0,Jun,Fri,VALPARAISO, IN,3.0,0.0
62,62.0,Accident,1995-06-03,"BIG DELTA, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1995.0,Jun,Sat,BIG DELTA, AK,2.0,0.0
63,63.0,Accident,1995-06-03,"PALMER, AK",United States,Non-Fatal,Substantial,Airplane,Piper,J3C-65,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1995.0,Jun,Sat,PALMER, AK,1.0,0.0
64,64.0,Accident,1995-06-04,"COLUMBIA, SC",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1995.0,Jun,Sun,COLUMBIA, SC,1.0,0.0
65,65.0,Accident,1995-06-04,"MANLEY HOT SPRI, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,Jun,Sun,MANLEY HOT SPRI, AK,1.0,0.0
66,66.0,Accident,1995-06-06,"MEDFORD, OR",United States,Non-Fatal,Substantial,Airplane,Piper,J3C-65,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,Jun,Tue,MEDFORD, OR,1.0,0.0
67,67.0,Accident,1995-06-07,"GAINESVILLE, FL",United States,Fatal,Destroyed,Airplane,Piper,PA-32-260,1.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1995.0,Jun,Wed,GAINESVILLE, FL,6.0,100.0
68,68.0,Accident,1995-06-09,"SARASOTA, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Fri,SARASOTA, FL,3.0,0.0
69,69.0,Accident,1995-06-09,"NIKISKI, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Fri,NIKISKI, AK,2.0,0.0
70,70.0,Accident,1995-06-13,"LOWELL, MI",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Tue,LOWELL, MI,4.0,0.0
71,71.0,Accident,1995-06-13,"BAY CITY, MI",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Maneuvering,Probable Cause,1995.0,Jun,Tue,BAY CITY, MI,4.0,0.0
72,72.0,Accident,1995-06-18,"BROOKLYN, MI",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Sun,BROOKLYN, MI,3.0,0.0
73,73.0,Accident,1995-06-18,"YELLOW SPRINGS, OH",United States,Non-Fatal,Substantial,Airplane,Piper,J3C-65,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Maneuvering,Probable Cause,1995.0,Jun,Sun,YELLOW SPRINGS, OH,2.0,0.0
74,74.0,Accident,1995-06-19,"PHILLIPS, ME",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Mon,PHILLIPS, ME,2.0,0.0
75,75.0,Accident,1995-06-20,"NONDALTON, AK",United States,Fatal,Destroyed,Airplane,Piper,PA-12,1.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1995.0,Jun,Tue,NONDALTON, AK,5.0,100.0
76,76.0,Accident,1995-06-21,"UTICA, NY",United States,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Go-around,Probable Cause,1995.0,Jun,Wed,UTICA, NY,1.0,0.0
77,77.0,Accident,1995-06-21,"FAIRBANKS, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Wed,FAIRBANKS, AK,1.0,0.0
78,78.0,Accident,1995-06-24,"PALM SPRINGS, CA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1995.0,Jun,Sat,PALM SPRINGS, CA,1.0,0.0
79,79.0,Accident,1995-06-26,"BROOKSVILLE, FL",United States,Fatal,Destroyed,Airplane,Piper,PA-32-260,1.0,Reciprocating,Personal,1.0,1.0,3.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Mon,BROOKSVILLE, FL,5.0,20.0
80,80.0,Accident,1995-06-26,"MIMBRES, NM",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Mon,MIMBRES, NM,3.0,0.0
81,81.0,Accident,1995-06-27,"COHOCTON, NY",United States,Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,Unknown,Maneuvering,Probable Cause,1995.0,Jun,Tue,COHOCTON, NY,2.0,100.0
82,82.0,Accident,1995-06-27,"AGRICOLA, MS",United States,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1995.0,Jun,Tue,AGRICOLA, MS,2.0,0.0
83,83.0,Accident,1995-06-27,"TYONEK, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1995.0,Jun,Tue,TYONEK, AK,1.0,0.0
84,84.0,Accident,1995-06-30,"LINTON, ND",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1995.0,Jun,Fri,LINTON, ND,2.0,0.0
85,85.0,Accident,1995-07-01,"CARMEL VALLEY, CA",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Jul,Sat,CARMEL VALLEY, CA,2.0,0.0
86,86.0,Accident,1995-07-01,"PAYSON, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-160,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Jul,Sat,PAYSON, AZ,2.0,0.0
87,87.0,Accident,1995-07-01,"FARMINGTON, NM",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,1995.0,Jul,Sat,FARMINGTON, NM,5.0,0.0
88,88.0,Accident,1995-07-03,"COLORADO SPGS, CO",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Takeoff,Probable Cause,1995.0,Jul,Mon,COLORADO SPGS, CO,3.0,0.0
89,89.0,Accident,1995-07-04,"WINSTONVILLE, MS",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1995.0,Jul,Tue,WINSTONVILLE, MS,1.0,0.0
90,90.0,Accident,1995-07-05,"RALEIGH, NC",United States,Fatal,Destroyed,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1995.0,Jul,Wed,RALEIGH, NC,2.0,100.0
91,91.0,Accident,1995-07-05,"HOMER, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-20,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1995.0,Jul,Wed,HOMER, AK,2.0,0.0
92,92.0,Accident,1995-07-05,"NULATO, AK",United States,Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,1.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1995.0,Jul,Wed,NULATO, AK,3.0,33.33333333333333
93,93.0,Accident,1995-07-06,"ISLAND PARK, ID",United States,Non-Fatal,Substantial,Airplane,Piper,PA-30,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1995.0,Jul,Thu,ISLAND PARK, ID,2.0,0.0
94,94.0,Accident,1995-07-08,"MERIDEN, CT",United States,Non-Fatal,Substantial,Airplane,Piper,PA-12,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1995.0,Jul,Sat,MERIDEN, CT,1.0,0.0
95,95.0,Accident,1995-07-09,"MONOGAHELA, PA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,2.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1995.0,Jul,Sun,MONOGAHELA, PA,3.0,0.0
96,96.0,Accident,1995-07-09,"RUBIDOUX, CA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1995.0,Jul,Sun,RUBIDOUX, CA,2.0,0.0
